,tilt_beta,z_mix_ratio,tilt_temperature_start,seed,tilt_init_geom_ratio,tilt_candidate_multiplier,tilt_ridge_alpha,eval/reach_top_right/episode_reward_iqm,eval/reach_top_left/episode_reward_iqm,eval/reach_bottom_right/episode_reward_iqm,eval/reach_bottom_left/episode_reward_iqm,eval/task_reward_iqm
0,0.995,0.5,20,42,0.99,4,0.1,0.0,944.3784790039062,0.0,20.162220001220703,241.13517475128174
1,0.995,0.5,20,44,0.99,4,0.1,338.8293151855469,945.1682739257812,0.0,755.3369140625,509.83362579345703
2,0.995,0.5,10,44,0.99,4,0.1,0.0,931.59912109375,0.0,520.1419067382812,362.9352569580078
3,0.995,0.5,20,42,0.99,2,0.1,0.0,940.12548828125,0.0,0.0,235.0313720703125
4,0.995,0.5,10,42,0.99,4,0.1,0.0,884.1638793945312,0.0,0.0,221.0409698486328
5,0.995,0.5,10,42,0.99,2,0.1,0.0,939.7384643554688,0.0,618.1925659179688,389.4827575683594
6,0.995,0.5,10,43,0.99,2,0.1,441.3251037597656,887.6412963867188,0.0,411.581298828125,435.13692474365234
7,0.995,0.5,10,42,0.99,2,0.01,753.662353515625,866.0631713867188,0.0,0.0,404.93138122558594
8,0.995,0.5,10,43,0.99,2,0.01,0.0,251.1030731201172,0.0,795.726318359375,261.70734786987305
9,0.995,0.5,20,42,0.99,2,0.01,220.55242919921875,943.3966674804688,0.0,777.663818359375,485.4032287597656
10,0.995,0.5,20,43,0.99,2,0.1,256.9364929199219,880.7846069335938,0.0,718.3771362304688,464.0245590209961
11,0.995,0.5,20,43,0.99,2,0.01,299.4411315917969,896.156494140625,0.0,0.0022312551736831665,298.8999642468989
